com.samsung.shealth.tracker.pedometer_day_summary,6091017,5,,,,,,,,,,,,,,,,
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2020-02-16 17:26:19.449,4929.4766,eeb0af7a-780b-4465-b891-a6fbe6801211.achievement.json,6066,6000,1581724800000,5.0376425,LEU3VEaDjN,2967608,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-16 17:26:19.449,5937,eeb0af7a-780b-4465-b891-a6fbe6801211.binning_data.json,eeb0af7a-780b-4465-b891-a6fbe6801211,227.0694,129,,0
2020-02-14 10:01:05.517,9262.737,39db6788-6f42-4369-b834-ff45dcfe02d8.achievement.json,10986,6000,1581638400000,1.7779158,VfS0qUERdZ,5209885,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-15 02:47:26.269,9308,39db6788-6f42-4369-b834-ff45dcfe02d8.binning_data.json,39db6788-6f42-4369-b834-ff45dcfe02d8,464.84207,1678,39db6788-6f42-4369-b834-ff45dcfe02d8.source_info.json,0
2020-03-11 04:00:01.441,5635.875,636b2ae1-a789-46f2-901b-e85d84aeafae.achievement.json,7154,6000,1583798400000,3.329553,LEU3VEaDjN,3622043,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-11 04:00:01.441,6947,636b2ae1-a789-46f2-901b-e85d84aeafae.binning_data.json,636b2ae1-a789-46f2-901b-e85d84aeafae,260.58807,207,,0
2020-02-10 10:01:56.596,5853.952,cdf47240-ba6b-40ed-82ee-6f7dba0cbe05.achievement.json,7377,6000,1581292800000,1.5100838,VfS0qUERdZ,3876574,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-11 03:20:59.632,7258,cdf47240-ba6b-40ed-82ee-6f7dba0cbe05.binning_data.json,cdf47240-ba6b-40ed-82ee-6f7dba0cbe05,271.57996,119,cdf47240-ba6b-40ed-82ee-6f7dba0cbe05.source_info.json,0
2020-02-06 04:00:01.225,7952.6167,05ffb786-be19-496f-bdff-ebab6b0797ad.achievement.json,9361,6000,1580860800000,6.9444447,LEU3VEaDjN,4494017,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-06 04:00:01.225,7742,05ffb786-be19-496f-bdff-ebab6b0797ad.binning_data.json,05ffb786-be19-496f-bdff-ebab6b0797ad,406.76614,1619,,0
2020-03-07 04:30:11.791,6809.635,b93825fb-93cc-4848-9991-346abcfd3c90.achievement.json,7644,6000,1583452800000,4.0479393,LEU3VEaDjN,3509727,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-07 04:30:11.791,5767,b93825fb-93cc-4848-9991-346abcfd3c90.binning_data.json,b93825fb-93cc-4848-9991-346abcfd3c90,363.68924,1877,,0
2020-01-15 04:00:01.315,8793.276,bebdacc6-ea54-4cd4-a01e-ceaa0bb29461.achievement.json,10126,6000,1578960000000,3.4859498,LEU3VEaDjN,4742158,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-15 04:00:01.315,7999,bebdacc6-ea54-4cd4-a01e-ceaa0bb29461.binning_data.json,bebdacc6-ea54-4cd4-a01e-ceaa0bb29461,459.79532,2127,,0
2020-01-26 04:00:00.838,1081.32,db1ce0c9-97f6-428b-a3ee-d508cfb458ac.achievement.json,1333,6000,1579910400000,6.9444447,LEU3VEaDjN,708936,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-01-26 04:00:11.850,1328,db1ce0c9-97f6-428b-a3ee-d508cfb458ac.binning_data.json,db1ce0c9-97f6-428b-a3ee-d508cfb458ac,50.940926,5,,0
2020-02-05 10:00:48.467,7952.6167,c9b22757-8440-4f19-b66e-011ef15bf525.achievement.json,9361,6000,1580860800000,1.7695765,VfS0qUERdZ,4494078,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-06 02:16:13.763,7742,c9b22757-8440-4f19-b66e-011ef15bf525.binning_data.json,c9b22757-8440-4f19-b66e-011ef15bf525,406.76614,1619,c9b22757-8440-4f19-b66e-011ef15bf525.source_info.json,0
2020-03-13 10:00:39.401,1196.2582,870612ed-cb4f-4765-b338-d5e6edc7dffa.achievement.json,1509,6000,1584057600000,1.5063002,VfS0qUERdZ,794169,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-03-13 23:50:34.311,1454,870612ed-cb4f-4765-b338-d5e6edc7dffa.binning_data.json,870612ed-cb4f-4765-b338-d5e6edc7dffa,56.38392,55,870612ed-cb4f-4765-b338-d5e6edc7dffa.source_info.json,0
2020-02-17 04:00:02.806,2312.4841,128fc65f-8025-4b4f-9a6c-01fbb4b7cd86.achievement.json,2759,6000,1581811200000,5.357632,LEU3VEaDjN,1354453,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-17 04:00:02.806,2543,128fc65f-8025-4b4f-9a6c-01fbb4b7cd86.binning_data.json,128fc65f-8025-4b4f-9a6c-01fbb4b7cd86,112.79531,216,,0
2020-02-02 04:00:01.057,3366.586,d2245b8a-4a0b-428b-b198-9f60f17ef5b9.achievement.json,3996,6000,1580515200000,6.9444447,LEU3VEaDjN,1902497,com.sec.android.app.shealth,com.sec.android.app.shealth,2020-02-02 04:00:01.057,3836,d2245b8a-4a0b-428b-b198-9f60f17ef5b9.binning_data.json,d2245b8a-4a0b-428b-b198-9f60f17ef5b9,157.79102,160,,0
