com.samsung.shealth.activity.day_summary,6091017,1,,,,,,,,,,,,,,,
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,60772894,2020-03-17 10:53:24.412,1445.46,800118,0,0,1584403200000,7jMRbZJdf9,800118,21,com.sec.android.app.shealth,2020-03-18 04:00:00.791,539118,7163d059-3632-4234-be83-7d2264b26f0e,7163d059-3632-4234-be83-7d2264b26f0e.extra_data.json,78
0,-1,-1,2020-03-17 10:53:24.666,0,0,0,0,1582070400000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:24.666,0,ccf452a0-bacb-4148-a6d9-041329750863,ccf452a0-bacb-4148-a6d9-041329750863.extra_data.json,0
0,-1,-1,2020-03-17 10:53:24.763,0,0,0,0,1582156800000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:24.763,0,9c770131-41ad-43f7-a022-cb81606a9214,9c770131-41ad-43f7-a022-cb81606a9214.extra_data.json,0
0,-1,-1,2020-03-17 10:53:24.883,0,0,0,0,1582243200000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:24.883,0,f1bff3dc-d0b4-46d0-a49b-cecc225b0249,f1bff3dc-d0b4-46d0-a49b-cecc225b0249.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.544,0,0,0,0,1582761600000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.544,0,bff25a6d-0393-48aa-bdf2-0ff1c29a026b,bff25a6d-0393-48aa-bdf2-0ff1c29a026b.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.410,0,0,0,0,1582588800000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.410,0,d768a53d-c88b-4e76-bf9d-b921685d00f8,d768a53d-c88b-4e76-bf9d-b921685d00f8.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.306,0,0,0,0,1582502400000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.306,0,df4cc720-00b9-4f96-ba75-5cdb664fcb87,df4cc720-00b9-4f96-ba75-5cdb664fcb87.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.468,0,0,0,0,1582675200000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.468,0,626cd196-0327-4ba3-9f37-09edcd0bab22,626cd196-0327-4ba3-9f37-09edcd0bab22.extra_data.json,0
0,-1,-1,2020-03-17 10:53:24.991,0,0,0,0,1582329600000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:24.991,0,c90cc690-4afe-4a52-ad8d-20a1b97d8d5e,c90cc690-4afe-4a52-ad8d-20a1b97d8d5e.extra_data.json,0
0,-1,-1,2020-03-17 10:53:26.032,0,0,0,0,1583280000000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:26.032,0,29c00534-a826-4f70-ad1d-f4aed71d5966,29c00534-a826-4f70-ad1d-f4aed71d5966.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.760,0,0,0,0,1583020800000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.760,0,dc7d433a-3b3a-4b74-9834-dee5e3d2a629,dc7d433a-3b3a-4b74-9834-dee5e3d2a629.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.939,0,0,0,0,1583193600000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.939,0,c25c5f15-9b4e-4032-8031-b7cabcc3f690,c25c5f15-9b4e-4032-8031-b7cabcc3f690.extra_data.json,0
0,-1,-1,2020-03-17 10:53:25.595,0,0,0,0,1582848000000,7jMRbZJdf9,0,0,com.sec.android.app.shealth,2020-03-17 10:53:25.595,0,2f594bef-e5fc-4f32-a37d-2000db7f6245,2f594bef-e5fc-4f32-a37d-2000db7f6245.extra_data.json,0
